id;ordem;family_ver;subfamily;genera_ver;species_ver;author_ver;ref_ver;iucn_classification;body_weight_g;body_weight_g_sd;bill_rostrum_lenght_mm;bill_rostrum_lenght_mm_sd;tongue_lenght_mm;n_input;;;;;;;;;;;;;;;;;;
108;Passeriformes;Thraupidae;Thraupinae;Tangara;cyanocephala;(Statius Muller, 1776);Piacentin et al., 2015;lc;18.8;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
109;Passeriformes;Thraupidae;Thraupinae;Tangara;desmaresti;(Vieillot, 1819);Piacentin et al., 2015;lc;20.25;NA;NA;NA;NA;2;;;;;;;;;;;;;;;;;;
110;Passeriformes;Thraupidae;Thraupinae;Tangara;palmarum;(Wied, 1821);Piacentin et al., 2015;lc;31.3;NA;NA;NA;NA;2;;;;;;;;;;;;;;;;;;
111;Passeriformes;Thraupidae;Thraupinae;Tangara;sayaca;(Linnaeus, 1766);Piacentin et al., 2015;lc;31;NA;NA;NA;NA;6;;;;;;;;;;;;;;;;;;
112;Passeriformes;Thraupidae;Thraupinae;Tangara;seledon;(Statius Muller, 1776);Piacentin et al., 2015;lc;18.2;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
113;Passeriformes;Thraupidae;Thraupinae;Tangara;sp.;Brisson, 1760;NA;NA;NA;NA;NA;NA;NA;2;;;;;;;;;;;;;;;;;;
114;Passeriformes;Thraupidae;Thraupinae;Tangara;velia;(Linnaeus, 1758);Piacentin et al., 2015;lc;21;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
115;Passeriformes;Tyrannidae;Elaeniinae;Elaenia;ridleyana;Sharpe, 1888;Piacentin et al., 2015;vu;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
116;Passeriformes;Vireonidae;NA;Vireo;gracilirostris;Sharpe, 1890;Piacentin et al., 2015;nt;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
117;Piciformes;Picidae;Picinae;Celeus;flavescens;(Gmelin, 1788);Piacentin et al., 2015;lc;137.5;NA;NA;NA;NA;4;;;;;;;;;;;;;;;;;;
118;Primates;Atelidae;Atelinae;Brachyteles;arachnoides;(É. Geoffroy, 1806);Paglia et al., 2012;cr;2000;NA;NA;NA;NA;2;;;;;;;;;;;;;;;;;;
119;Primates;Atelidae;Atelinae;Brachyteles;hypoxanthus;(Kuhl, 1820);Paglia et al., 2012;cr;130;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
120;Primates;Callitrichidae;Callithrichinae;Leontopithecus;chrysomelas;(Kuhl, 1820);Paglia et al., 2012;en;600;141;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
121;Primates;Callitrichidae;Callithrichinae;Leontopithecus;rosalia;(Linnaeus, 1766);Paglia et al., 2012;en;600;200;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
122;Primates;Cebidae;Callithrichinae;Callithrix;flaviceps;(Thomas, 1903);Paglia et al., 2012;cr;400;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
123;Primates;Cebidae;Callithrichinae;Callithrix;kuhlii;Coimbra-Filho, 1985;Paglia et al., 2012;vu;315;120;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
124;Primates;Cebidae;NA;Sapajus;nigritus;(Linnaeus, 1758);Paglia et al., 2012;lc;8.9;4.1;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
125;Psittaciformes;Psittacidae;Pssitacinae;Brotogeris;chiriri;(Vieillot, 1818);Piacentin et al., 2015;lc;NA;NA;NA;NA;NA;2;;;;;;;;;;;;;;;;;;
126;Psittaciformes;Psittacidae;Psittacinae;Pionus;maximiliani;(Kuhl, 1820);Piacentin et al., 2015;lc;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
127;Psittaciformes;Psittacidae;Psittacinae;Psittacara;leucophthalmus;(Statius Muller, 1776);Piacentin et al., 2015;lc;NA;NA;NA;NA;NA;3;;;;;;;;;;;;;;;;;;
128;Psittaciformes;Psittacidae;Psittacinae;Pyrrhura;frontalis;(Vieillot, 1817);Piacentin et al., 2015;lc;83;NA;NA;NA;NA;3;;;;;;;;;;;;;;;;;;
129;Squamata;Scincidae;NA;Trachylepis;atlantica;Costa and Bérnils (2015);Rocha et al., 2009;lc;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
